movie_id,person_id,name,job,department
1265609,143059,Patrick Hughes,Director,Directing
1265609,143059,Patrick Hughes,Screenplay,Writing
1265609,62758,Todd Lieberman,Producer,Production
1265609,143059,Patrick Hughes,Producer,Production
1265609,1217765,James Beaufort,Screenplay,Writing
1265609,1935919,Alexander Young,Producer,Production
1265609,5990067,Rich Cook,Producer,Production
1265609,59998,Greg McLean,Producer,Production
1265609,2089404,Dmitri Golovko,Original Music Composer,Sound
1290821,976,Jason Statham,Producer,Production
1290821,76422,Ric Roman Waugh,Director,Directing
1290821,1533678,John Friedberg,Producer,Production
1290821,2858140,Brendon Boyea,Producer,Production
1290821,66821,Jon Berg,Producer,Production
1290821,40593,Greg Silverman,Producer,Production
1290821,225635,David Buckley,Original Music Composer,Sound
799882,19271,Anthony Russo,Producer,Production
799882,19272,Joe Russo,Producer,Production
799882,1751775,Angela Russo-Otstot,Producer,Production
799882,1483894,Mariel Saldaña,Producer,Production
799882,1483893,Cisely Saldaña,Producer,Production
799882,59703,Frank E. Flowers,Director,Directing
799882,77234,Priyanka Chopra Jonas,Producer,Production
799882,1397011,Michael Disco,Producer,Production
799882,227440,Henry Jackman,Original Music Composer,Sound
1193501,983674,Macdara Kelleher,Producer,Production
1193501,1375896,David Gross,Producer,Production
1193501,1401474,Corin Hardy,Director,Directing
1193501,961166,Whitney Brown,Producer,Production
1193501,5592159,Doomphonic,Original Music Composer,Sound
1193501,1398636,John Keville,Producer,Production
680493,31516,Victor Hadida,Producer,Production
680493,1023134,Molly Hassell,Producer,Production
680493,1150952,David M. Wulf,Producer,Production
680493,1116651,John Jencks,Producer,Production
680493,1288597,Alexa Seligman,Producer,Production
680493,74441,Jay Taylor,Producer,Production
680493,8296,Christophe Gans,Director,Directing
680493,8301,Akira Yamaoka,Original Music Composer,Sound
1236153,23430,Timur Bekmambetov,Producer,Production
1236153,23430,Timur Bekmambetov,Director,Directing
1236153,282,Charles Roven,Producer,Production
1236153,1993720,Majd Nassif,Producer,Production
1236153,3896422,Robert Amidon,Producer,Production
1236153,10851,Ramin Djawadi,Original Music Composer,Sound
840464,67759,Basil Iwanyk,Producer,Production
840464,2858152,Sebastien Raybaud,Producer,Production
840464,2230993,John Zois,Producer,Production
840464,2858140,Brendon Boyea,Producer,Production
840464,582624,Alan Siegel,Producer,Production
840464,17276,Gerard Butler,Producer,Production
840464,76422,Ric Roman Waugh,Director,Directing
840464,225635,David Buckley,Original Music Composer,Sound
1088434,4286420,Joel Cohen,Producer,Production
1088434,78108,Isaac Florentine,Director,Directing
1088434,62811,Stephen Edwards,Original Music Composer,Sound
1327819,1491592,Daniel Chong,Director,Directing
1327819,1485788,Nicole Paradis Grindle,Producer,Production
1327819,5666,Mark Mothersbaugh,Original Music Composer,Sound
1327819,1394669,Jesse Andrews,Screenplay,Writing
1159559,2564279,Paul Neinstein,Producer,Production
1159559,61122,William Sherak,Producer,Production
1159559,1661850,Guy Busick,Screenplay,Writing
1159559,26458,Kevin Williamson,Director,Directing
1159559,7229,Marco Beltrami,Original Music Composer,Sound
1159559,26458,Kevin Williamson,Screenplay,Writing
1159559,20204,James Vanderbilt,Producer,Production
1084242,1318201,Jared Bush,Director,Directing
1084242,1999218,Yvett Merino,Producer,Production
1084242,76595,Byron Howard,Director,Directing
1084242,15347,Michael Giacchino,Original Music Composer,Sound
1168190,1500758,Ángel Manuel Soto,Director,Directing
1168190,117642,Jason Momoa,Producer,Production
1168190,543530,Dave Bautista,Producer,Production
1168190,32278,Matt Reeves,Producer,Production
1168190,1986354,Jeffrey Fierson,Producer,Production
1168190,4768,Lynn Harris,Producer,Production
1168190,1580941,Bobby Krlic,Original Music Composer,Sound
1419406,1452270,Larry Yang,Director,Directing
1419406,25338,Nicolas Errèra,Original Music Composer,Sound
1419406,1586112,Victoria Hon,Producer,Production
83533,2710,James Cameron,Screenplay,Writing
83533,2710,James Cameron,Director,Directing
83533,1654408,Simon Franglen,Original Music Composer,Sound
83533,67802,Rick Jaffa,Screenplay,Writing
83533,67803,Amanda Silver,Screenplay,Writing
83533,8529,Jon Landau,Producer,Production
83533,2710,James Cameron,Producer,Production
1523145,1547457,Mikhail Vaynberg,Director,Directing
1523145,1650368,Georgy Shabanov,Producer,Production
1523145,5038055,Lusya Dadalyan,Producer,Production
1523145,557960,Alyona Zvantsova,Producer,Production
1523145,4200349,Viktor Shadrin,Producer,Production
1311031,1283010,Haruo Sotozaki,Director,Directing
1311031,89839,Yuki Kajiura,Original Music Composer,Sound
1311031,1433681,Go Shiina,Original Music Composer,Sound
1311031,1817520,Masanori Miyake,Producer,Production
1311031,2652979,Yuma Takahashi,Producer,Production
1311031,3286707,Tatsuro Hayashi,Producer,Production
1311031,3999095,Takao Shimazaki,Producer,Production
1311031,931823,Hikaru Kondô,Screenplay,Writing
1311031,2282830,Koyoharu Gotouge,Screenplay,Writing
696393,508,David Koepp,Producer,Production
696393,59104,Jonny Campbell,Director,Directing
696393,508,David Koepp,Screenplay,Writing
696393,35974,Gavin Polone,Producer,Production
696393,1300880,Mathieu Lamboley,Original Music Composer,Sound
1199193,1306720,Jamie Adams,Director,Directing
1199193,3160852,Rebecca Miller,Producer,Production
1199193,3160853,Cara Shine Ballarini,Producer,Production
1199193,1384817,Shaun S. Sanghani,Producer,Production
1199193,70734,John Rea,Original Music Composer,Sound
1199193,2329018,Bannor Michael MacGregor,Producer,Production
1159831,1703594,Osnat Handelsman-Keren,Producer,Production
1159831,1579,Maggie Gyllenhaal,Producer,Production
1159831,1393092,Talia Kleinhendler,Producer,Production
1159831,45648,Emma Tillinger Koskoff,Producer,Production
1159831,1579,Maggie Gyllenhaal,Director,Directing
1159831,1178828,Hildur Guðnadóttir,Original Music Composer,Sound
755898,1634181,Rich Lee,Director,Directing
755898,23430,Timur Bekmambetov,Producer,Production
755898,964093,Patrick Aiello,Producer,Production
755898,10387,Marc Hyman,Screenplay,Writing
755898,116227,Kenny Golde,Screenplay,Writing
755898,1839152,Jon Natchez,Original Music Composer,Sound
1368166,116805,Paul Feig,Director,Directing
1368166,82665,Rebecca Sonnenshine,Screenplay,Writing
1368166,116805,Paul Feig,Producer,Production
1368166,62758,Todd Lieberman,Producer,Production
1368166,10572,Theodore Shapiro,Original Music Composer,Sound
1368166,2754382,Laura Allen Fischer,Producer,Production
1499984,3790998,Chaya Supannarat,Director,Directing
1242898,568322,Dan Trachtenberg,Director,Directing
1242898,1061155,Patrick Aison,Screenplay,Writing
1242898,2043,John Davis,Producer,Production
1242898,60711,Brent O'Connor,Producer,Production
1242898,1525143,Sarah Schachner,Original Music Composer,Sound
1242898,40825,Benjamin Wallfisch,Original Music Composer,Sound
1242898,102630,Marc Toberoff,Producer,Production
1242898,568322,Dan Trachtenberg,Producer,Production
1242898,1725893,Ben Rosenblatt,Producer,Production
937101,1912833,Yu-Lin Wang,Screenplay,Writing
937101,1760587,Patrick Mao Huang,Producer,Production
937101,3420910,Chan Ting-i,Producer,Production
937101,1912833,Yu-Lin Wang,Director,Directing
1272837,2036,Alex Garland,Producer,Production
1272837,2034,Danny Boyle,Producer,Production
1272837,1795072,Nia DaCosta,Director,Directing
1272837,2035,Andrew Macdonald,Producer,Production
1272837,17599,Bernard Bellew,Producer,Production
1272837,4474842,Peter Rice,Producer,Production
1272837,1178828,Hildur Guðnadóttir,Original Music Composer,Sound
1401778,56533,Claudio Fäh,Director,Directing
1401778,70522,Will Clarke,Producer,Production
1401778,1346142,Andy Mayson,Producer,Production
1401778,1046134,Molly Conners,Producer,Production
1401778,1486921,Amanda Bowers,Producer,Production
1401778,56535,Marcus Trumpp,Original Music Composer,Sound
10156,14639,Mel Brooks,Director,Directing
10156,719,John Morris,Original Music Composer,Sound
10156,14639,Mel Brooks,Screenplay,Writing
10156,14639,Mel Brooks,Producer,Production
1549519,1053800,Lawrence Fajardo,Director,Directing
1426964,1265055,Pedro Morelli,Director,Directing
1426964,1018976,Lucas Vidal,Original Music Composer,Sound
1426964,8562,Andrea Barata Ribeiro,Producer,Production
1497970,5288984,Zhang Gang,Director,Directing
1497970,2463885,Fu Ruoqing,Producer,Production
1497970,2463890,Zhang Huixia,Producer,Production
1497970,2250469,Hank Lee,Original Music Composer,Sound
1306368,880,Ben Affleck,Producer,Production
1306368,40223,Joe Carnahan,Director,Directing
1306368,1892,Matt Damon,Producer,Production
1306368,62908,Clinton Shorter,Original Music Composer,Sound
1306368,4807995,Luciana Damon,Producer,Production
1306368,2385493,Dani Bernfeld,Producer,Production
1306368,40223,Joe Carnahan,Screenplay,Writing
1387382,582827,Raja Collins,Director,Directing
1387382,1064916,Al Bravo,Producer,Production
1387382,1024837,Eric Brenner,Producer,Production
1387382,622844,Vince Jolivette,Producer,Production
1387382,1770865,Dan Katzman,Producer,Production
1387382,5723192,David McCalib Jr.,Producer,Production
1387382,1306351,Eduard Osipov,Producer,Production
1387382,2067096,Luke Wyckoff,Producer,Production
1387382,1515595,Anders Niska,Original Music Composer,Sound
1387382,1515596,Klas Wahl,Original Music Composer,Sound
1167307,2838796,Phil Cunningham,Director,Directing
1167307,2838796,Phil Cunningham,Producer,Production
1167307,2508883,Brent Dawes,Director,Directing
1167307,79065,Tim Tebow,Producer,Production
1167307,2838798,Jacqui Cunningham,Producer,Production
1167307,1098740,Joseph Trapanese,Original Music Composer,Sound
1167307,2508883,Brent Dawes,Screenplay,Writing
1584215,113194,James Bamford,Director,Directing
1584215,113092,Rich Walters,Original Music Composer,Sound
1353333,4217537,Andrea M. Catinella,Director,Directing
1353333,1688303,Rene Auguste,Producer,Production
1316092,1252934,Emerald Fennell,Director,Directing
1316092,1252934,Emerald Fennell,Screenplay,Writing
1316092,234352,Margot Robbie,Producer,Production
1316092,1252934,Emerald Fennell,Producer,Production
1316092,1363079,Tom Ackerley,Producer,Production
1316092,1908039,Josey McNamara,Producer,Production
1316092,2003250,Anthony B. Willis,Original Music Composer,Sound
425274,91268,Ruben Fleischer,Director,Directing
425274,135,Bobby Cohen,Producer,Production
425274,15345,Alex Kurtzman,Producer,Production
425274,6041,Brian Tyler,Original Music Composer,Sound
425274,1273117,Michael Lesslie,Screenplay,Writing
425274,91269,Paul Wernick,Screenplay,Writing
425274,7932,Rhett Reese,Screenplay,Writing
425274,565491,Seth Grahame-Smith,Screenplay,Writing
425274,15346,Roberto Orci,Producer,Production
1539104,2784807,Shota Goshozono,Director,Directing
1539104,2645698,Yoshimasa Terui,Original Music Composer,Sound
1539104,1491863,Hiroshi Seko,Screenplay,Writing
1511417,147021,S. S. Rajamouli,Director,Directing
1511417,1488790,Prasad Devineni,Producer,Production
1511417,1488791,Shobu Yarlagadda,Producer,Production
1234731,1211000,Tom Gormican,Director,Directing
1234731,54844,Brad Fuller,Producer,Production
1234731,54843,Andrew Form,Producer,Production
1234731,1211000,Tom Gormican,Screenplay,Writing
1234731,1219572,Kevin Etten,Screenplay,Writing
1234731,1639821,David Fleming,Original Music Composer,Sound
1234731,1219572,Kevin Etten,Producer,Production
1234731,1211000,Tom Gormican,Producer,Production
1601243,115091,R. Ellis Frazier,Director,Directing
1601243,1419130,Justin Nesbitt,Director,Directing
1601243,5928982,Aaron Montreal,Original Music Composer,Sound
1601243,2035459,Steven Wayne Thomas,Original Music Composer,Sound
1448560,1088096,James Nunn,Director,Directing
1448560,230157,Dominic Burns,Producer,Production
1448560,3036574,Crawford Anderson-Dillon,Producer,Production
1448560,239663,James Harris,Producer,Production
1448560,1575766,Mark Lane,Producer,Production
1448560,1323676,Si Begg,Original Music Composer,Sound
1054867,1102140,Adam Somner,Producer,Production
