movie_id,title,original_title,overview,tagline,status,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,genres,production_countries,imdb_id
1265609,War Machine,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",All grit. No quit.,Released,2026-02-12,110,0,0,652.6109,7.005,313,en,Action|Science Fiction|Thriller,AU|US,tt15940132
1290821,Shelter,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",Her safety. His mission.,Released,2026-01-28,107,50000000,42079609,381.0086,6.724,248,en,Action|Crime|Thriller,US|GB,tt32357218
799882,The Bluff,The Bluff,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",Betrayal cuts deep.,Released,2026-02-17,102,0,0,267.0115,6.3,221,en,Action|Thriller,US,tt14181714
1193501,Whistle,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",Don't blow it.,Released,2026-01-20,100,2000000,2568027,159.3098,5.995,107,en,Horror|Mystery,IE|US,tt29550683
680493,Return to Silent Hill,Return to Silent Hill,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",Guilt is a place you can never leave.,Released,2026-01-21,106,23000000,43023897,154.9778,5.039,254,en,Mystery|Drama|Horror,FR|JP|US|GB|DE,tt22868010
1236153,Mercy,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",Prove your innocence to an AI judge or face execution.,Released,2026-01-20,99,60000000,54310041,152.607,7.068,673,en,Science Fiction|Action|Thriller,US,tt31050594
840464,Greenland 2: Migration,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",Hope is uncharted territory.,Released,2026-01-07,98,90000000,43292938,145.7162,6.496,564,en,Adventure|Thriller|Science Fiction,GB|US,tt14850054
1088434,Hellfire,Hellfire,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,To free the town he'll start a war.,Released,2026-02-05,94,0,0,143.4119,6.9,48,en,Action|Thriller,US,tt14507394
1634301,Vanaveera,Vanaveera,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,,Released,2026-02-13,0,0,0,142.6715,7.0,3,te,Action|Drama,,
1327819,Hoppers,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",Act natural.,Released,2026-03-04,105,150000000,88000000,139.1041,7.593,97,en,Animation|Family|Comedy|Science Fiction|Adventure,US,tt26443616
1159559,Scream 7,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",Burn it all down.,Released,2026-02-25,114,45000000,149474160,138.4813,5.983,262,en,Horror|Mystery|Crime,US,tt27047903
1084242,Zootopia 2,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",They're back with a twissst.,Released,2025-11-26,108,150000000,1859660668,134.2596,7.613,1981,en,Animation|Comedy|Adventure|Family|Mystery,US|CA,tt26443597
1168190,The Wrecking Crew,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",They fight like brothers. They wreck like legends.,Released,2026-01-28,124,78500000,89000000,121.4809,6.896,756,en,Action|Comedy|Crime|Mystery,US|CA,tt33046197
1419406,The Shadow's Edge,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,He's training a new generation of law enforcers for a dangerous mission to save the world from ruthless criminals.,Released,2025-08-16,142,0,174400000,120.5003,7.2,476,zh,Action|Crime|Drama|Thriller,CN|HK,tt34610311
83533,Avatar: Fire and Ash,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",The world of Pandora will change forever.,Released,2025-12-17,198,350000000,1482195377,120.0551,7.3,1869,en,Science Fiction|Adventure|Fantasy,US,tt1757678
1523145,Your Heart Will Be Broken,Tvoe serdtse budet razbito,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",,Post Production,2026-03-26,0,0,0,119.6297,0.0,0,ru,Romance|Drama,RU,tt38190257
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",It's time to have some fun.,Released,2025-07-18,156,20000000,733030221,105.7422,7.657,753,ja,Animation|Action|Fantasy,JP,tt32820897
696393,Cold Storage,Cold Storage,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","If it spreads, you're dead.",Released,2026-01-22,99,10000000,3540268,105.0409,6.535,99,en,Horror|Science Fiction|Comedy,GB|US,tt8879928
1199193,Pose,Pose,"Isolated in a grand country manor, a reclusive artist spends a passionate and paranoid weekend with his ex-lover, an obsessive fan, and a potential muse. Hoping to spark a new wave of artistic brilliance over the course of a few tumultuous days, filled with chaos and revelation not all of them will make it out alive.",,Released,2026-02-25,77,0,0,104.5044,7.158,19,en,Thriller,US|GB,tt29713815
1159831,The Bride!,The Bride!,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,Here comes the mother f*%#ing bride!,Released,2026-03-04,126,80000000,13600000,102.9913,6.4,98,en,Science Fiction|Horror|Comedy,US,tt30851137
755898,War of the Worlds,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",Your data is deadly.,Released,2025-07-29,91,10000000,0,101.1316,4.162,915,en,Science Fiction|Thriller,US,tt13186306
1368166,The Housemaid,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",Discover what lies behind closed doors.,Released,2025-12-18,131,35000000,383000000,100.9489,7.263,1439,en,Drama|Mystery|Thriller,US,tt27543632
1499984,Gladiator Underground,Gladiator Underground,"Two brothers compete in the world's deadliest underground fighting tournament, where they must decide whether to play by the rules or to cast their honor aside and team up to bring down the dark syndicate running the tournament.",Win or die.,Released,2025-08-22,91,0,0,99.6886,6.979,24,en,Action,TH,tt34966032
1242898,Predator: Badlands,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",First hunt. Last chance.,Released,2025-11-05,107,105000000,184500000,88.9053,7.717,2297,en,Action|Science Fiction|Adventure,US,tt31227572
937101,In the Morning of La Petite Mort,動物感傷の清晨,"A provocative erotic drama about a Japanese food delivery man, a Taiwanese prostitute and a Filipino cleaner who are swept up by their insatiable appetites for sex.",,Released,2023-10-13,98,0,0,80.3598,6.75,4,zh,,TW,tt15435040
1272837,28 Years Later: The Bone Temple,28 Years Later: The Bone Temple,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,Fear is the new faith.,Released,2026-01-14,109,63000000,58586229,80.3193,7.203,775,en,Horror|Thriller|Science Fiction,GB|US,tt32141377
1401778,Turbulence,Turbulence,"Young married couple Zach and Emmy decide to take a hot air balloon trip across the Italian Dolomites to rekindle their relationship. When they and pilot Harry are joined by a third passenger, Julia, events unfold in ways they could never imagine five thousand meters in the air.",Fear takes flight.,Released,2025-11-26,91,0,0,79.5942,5.825,57,en,Thriller|Action|Adventure|Drama|Fantasy,US|GB,tt33009027
10156,History of the World: Part I,History of the World: Part I,"An uproarious version of history that proves nothing is sacred – not even the Roman Empire, the French Revolution and the Spanish Inquisition.","Ten million years in the making. The truth, the whole truth, and everything, but the truth!",Released,1981-06-12,92,10000000,31672907,77.7032,6.756,896,en,Comedy,US,tt0082517
1549519,Sex Trip,Sex Trip,"On a final trip after college graduation, five friends go on a hiking trip and discover a mystical cave that unleashes forbidden desires within them, igniting a night of uninhibited passion, partner-swapping, and raw sexual exploration leaving them forever changed.",,Released,2026-02-20,75,0,0,73.8602,6.833,3,tl,Drama,PH,tt38080080
1426964,State of Fear,Salve Geral: Irmandade,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",,Released,2026-02-10,103,0,0,72.6537,5.4,55,pt,Action|Thriller|Crime|Drama,BR,tt39369643
1497970,Tom and Jerry: Forbidden Compass,猫和老鼠：星盘奇缘,"The iconic cat-and-mouse duo accidentally travel through time in a museum. Along their journey, they meet a group of intriguing new companions and become involved in a final showdown with mysterious forces.",The cat and mouse chase never ends!,Released,2025-08-02,104,0,751385,67.5505,5.763,19,zh,Animation|Comedy|Family|Fantasy|Adventure,CN,tt37185884
1306368,The Rip,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",Count the money. Count it again. Count on no one.,Released,2026-01-13,113,100000000,0,66.9258,7.066,1337,en,Action|Thriller|Crime,US,tt32642706
1387382,Hunting Season,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",It takes an awful lot to kill a person.,Released,2025-12-05,93,0,0,66.7675,6.965,144,en,Action|Drama|Thriller,US,tt32537226
1167307,David,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",A giant musical event.,Released,2025-12-14,109,60900000,83092325,66.1365,8.045,99,en,Animation|Family|Drama,US|ZA,tt15678738
1584215,The Internship,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",,Released,2026-01-13,91,0,0,65.7827,6.2,52,en,Action,US,tt38238651
1353333,Mouseboat Massacre,Mouseboat Massacre,The story follows a young woman battling a drug addiction who suddenly begins to see a mutated mouse human hybrid who infests her life. Those around her begin to drop like flies.,Get ready for the last ride of your life.,Released,2025-05-09,82,0,0,63.8354,5.446,28,en,Horror,GB,tt33362805
1316092,"""Wuthering Heights""","""Wuthering Heights""","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",Come undone.,Released,2026-02-11,136,80000000,213700000,63.5751,6.398,475,en,Romance|Drama,US|GB,tt32897959
425274,Now You See Me: Now You Don't,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",Unlock the illusion.,Released,2025-11-12,113,90000000,242431024,61.0022,6.534,1187,en,Thriller|Crime,US,tt4712810
1539104,JUJUTSU KAISEN: Execution,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.","The chaos of curses, Shibuya, and beyond—",Released,2025-11-07,88,84,44559195,60.7384,5.7,83,ja,Animation|Action|Fantasy,JP,tt38121182
1511417,Bāhubali: The Epic,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",,Released,2025-10-29,224,65000000,3500000,60.7256,5.953,32,te,Action|Drama,IN,tt37893389
