movie_id,keyword_id,keyword
1265609,196009,military training
1265609,298591,military sci-fi
1265609,332773,u.s. army ranger
1290821,196164,ghosts of the past
1290821,325768,apologetic
1290821,337188,solitary life
799882,12988,pirate
799882,164181,sister-in-law
799882,167861,caribbean sea
799882,202371,aggressive
799882,207928,19th century
799882,230771,female pirate
799882,241548,old grudge
799882,263814,caribbean
799882,365596,running from the past
799882,365597,quartermaster
799882,365598,second in command
1193501,6270,high school
1193501,2968,grave
1193501,10114,evil spirit
1193501,10873,school
1193501,34079,death
1193501,41328,whistle
1193501,156866,based on short story
1193501,256183,supernatural horror
1193501,266753,cautionary
1193501,304115,cursed object
1193501,309060,teen horror
1193501,315058,horror
680493,1299,monster
680493,4183,wife
680493,6152,supernatural
680493,3344,letter
680493,437,painter
680493,9663,sequel
680493,10886,punishment
680493,9673,love
680493,10349,survival
680493,9826,murder
680493,13031,creature
680493,41645,based on video game
680493,166701,ghost town
680493,272553,psychological
680493,275311,plot twist
680493,295907,psychological horror
680493,312898,violence
680493,325783,cliché
1236153,4776,race against time
1236153,10364,mission
1236153,310,artificial intelligence (a.i.)
1236153,258,bomb
1236153,1930,kidnapping
1236153,12670,"los angeles, california"
1236153,14783,false accusations
1236153,202371,aggressive
1236153,232076,desperate
1236153,235910,innocent suspect
1236153,240303,father daughter relationship
1236153,241782,criminal justice system
1236153,243982,evidence room
1236153,244256,near future
1236153,272745,screenlife
1236153,323114,crime
1236153,325776,baffled
840464,5096,natural disaster
840464,4917,shelter
840464,10349,survival
840464,10617,disaster
840464,208156,frantic
1327819,161219,consciousness
1327819,233636,human becoming an animal
1327819,251351,robotic animal
1327819,278823,3d animation
1159559,2546,mask
1159559,310,artificial intelligence (a.i.)
1159559,9663,sequel
1159559,9826,murder
1159559,10714,serial killer
1159559,12339,slasher
1159559,12570,whodunit
1159559,17987,killing spree
1159559,160612,self-referential
1159559,161184,reboot
1159559,177695,crime spree
1159559,200918,angry
1159559,207046,murder mystery
1159559,234025,masked villain
1159559,234906,murder spree
1159559,290395,casual
1159559,309060,teen horror
1084242,1585,snake
1084242,3208,bunny
1084242,2527,fox
1084242,8015,cop
1084242,9663,sequel
1084242,11477,anthropomorphism
1084242,18165,animals
1084242,33549,displacement
1084242,167316,buddy cop
1084242,167541,buddy comedy
1084242,239797,complex
1084242,259376,playful
1084242,267848,talking animal
1084242,278823,3d animation
1084242,325805,embarrassed
1084242,325811,excited
1168190,9824,reunion
1168190,229620,helicopter chase
1168190,243959,brother brother relationship
1168190,325791,defiant
1168190,345457,loss of father
1419406,325811,excited
83533,616,witch
83533,402,clone
83533,3386,space war
83533,10148,tribe
83533,9663,sequel
83533,9951,alien
83533,12375,transhumanism
83533,18035,family
83533,195114,space adventure
83533,205734,family dynamics
83533,237104,rival
1311031,6152,supernatural
1311031,9663,sequel
1311031,13141,based on manga
1311031,15001,demon
1311031,159103,mourning
1311031,207826,shounen
1311031,210024,anime
1311031,240485,brother sister relationship
1311031,254547,taisho period
696393,5657,australia
696393,818,based on novel or book
696393,2766,mutation
696393,5569,vomit
696393,7946,deer
696393,9744,outbreak
696393,10349,survival
696393,12551,nuclear bomb
696393,17995,epidemic
696393,221253,fungus
696393,228922,underground facility
696393,314811,storage compound
696393,320420,hilarious
696393,323910,sci-fi horror
696393,325823,harsh
696393,352581,comedy horror
1159831,520,"chicago, illinois"
1159831,9826,murder
1159831,12415,back from the dead
1159831,178982,companion
1159831,187056,woman director
1159831,199844,femicide
1159831,214548,1930s
1159831,221882,gothic romance
1159831,228384,female scientist
1159831,258464,frankenstein
755898,6086,government
755898,10563,attack
755898,18419,privacy
755898,18420,surveillance
755898,197255,cybersecurity
755898,202559,district
755898,240069,online privacy
755898,272745,screenlife
755898,273967,war
755898,305168,depressed
755898,309974,absurd
755898,325793,derisive
1368166,818,based on novel or book
1368166,12565,psychological thriller
1368166,17997,housekeeper
1368166,155619,attic
1368166,191009,housemaid
1368166,286957,adaptation
1368166,316332,mystery
