adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/6yeVcxFR0j08vlv2OlL6zbewm4D.jpg,"[28, 878, 53]",1265609,en,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",652.6109,/rFhKkXhk7ClU03jQ5rHIApJDwev.jpg,2026-02-12,War Machine,False,7.041,333
False,/nHxWyy18SvAZ8jJeemtS8k1UNjM.jpg,"[28, 80, 53]",1290821,en,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",381.0086,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,2026-01-28,Shelter,False,6.724,248
False,/hYgUkH7TusddHRtelj53I6gFOWR.jpg,"[28, 53]",799882,en,The Bluff,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",267.0115,/w0jwjFmRu2or7LQqh1tSMFjq0At.jpg,2026-02-17,The Bluff,False,6.3,221
False,/finq0JnC6tIMkKczzyxLJjgWFfT.jpg,"[27, 9648]",1193501,en,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",159.3098,/84vAcFwxoObBuMWANWQXCg0Umg8.jpg,2026-01-20,Whistle,False,5.995,107
False,/nTbO6UF944b0VZrgypMK5rFYRSW.jpg,"[9648, 18, 27]",680493,en,Return to Silent Hill,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",154.9778,/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,2026-01-21,Return to Silent Hill,False,5.039,254
False,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,"[878, 28, 53]",1236153,en,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",152.607,/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg,2026-01-20,Mercy,False,7.068,673
False,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,"[12, 53, 878]",840464,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",145.7162,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,2026-01-07,Greenland 2: Migration,False,6.497,561
False,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,"[28, 53]",1088434,en,Hellfire,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,143.4119,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,2026-02-05,Hellfire,False,6.9,48
False,/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg,"[28, 18]",1634301,te,Vanaveera,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,142.6715,/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,2026-02-13,Vanaveera,False,7.0,3
False,/2RrLuIfIzGWWIH8IAEo6o0IYHmx.jpg,"[16, 10751, 35, 878, 12]",1327819,en,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",139.1041,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,2026-03-04,Hoppers,False,7.605,95
False,/hz7TdCrpLLt2Dz7S3PS2HG9rpAO.jpg,"[27, 9648, 80]",1159559,en,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",138.4813,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,2026-02-25,Scream 7,False,5.987,260
False,/5BeOSbwt6BR7q2Fax70lF4AIshD.jpg,"[16, 35, 12, 10751, 9648]",1084242,en,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",134.2596,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,2025-11-26,Zootopia 2,False,7.6,1980
False,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,"[28, 35, 80, 9648]",1168190,en,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",121.4809,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,2026-01-28,The Wrecking Crew,False,6.9,756
False,/tn95fumbkVAgXjOuw9CQOg0aYQz.jpg,"[28, 80, 18, 53]",1419406,zh,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,120.5003,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,2025-08-16,The Shadow's Edge,False,7.2,476
False,/sdZSjtGUTSN8B3al5o0f2WoQfQQ.jpg,"[878, 12, 14]",83533,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",120.0551,/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,2025-12-17,Avatar: Fire and Ash,False,7.3,1869
False,,"[10749, 18]",1523145,ru,Tvoe serdtse budet razbito,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",119.6297,/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg,2026-03-26,Your Heart Will Be Broken,False,0.0,0
False,/lNYympQM5O6QSInusbyG9eJDIe4.jpg,"[16, 28, 14]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",105.7422,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.657,753
