movie_id,provider_name,provider_type
1265609,Netflix,flatrate
1265609,Netflix Standard with Ads,flatrate
1290821,Amazon Video,rent
1290821,Fandango At Home,rent
1290821,Plex,rent
1290821,Amazon Video,buy
1290821,Fandango At Home,buy
799882,Amazon Prime Video,flatrate
799882,Amazon Prime Video with Ads,flatrate
1193501,Amazon Video,rent
1193501,Fandango At Home,rent
1193501,Plex,rent
1193501,Amazon Video,buy
1193501,Fandango At Home,buy
680493,Amazon Video,rent
680493,Google Play Movies,rent
680493,YouTube,rent
680493,Fandango At Home,rent
680493,Plex,rent
680493,Amazon Video,buy
680493,Google Play Movies,buy
680493,YouTube,buy
680493,Fandango At Home,buy
1236153,Amazon Video,rent
1236153,Google Play Movies,rent
1236153,YouTube,rent
1236153,Fandango At Home,rent
1236153,Amazon Video,buy
1236153,Google Play Movies,buy
1236153,YouTube,buy
1236153,Fandango At Home,buy
840464,Amazon Video,rent
840464,Apple TV Store,rent
840464,Google Play Movies,rent
840464,YouTube,rent
840464,Amazon Video,buy
840464,Apple TV Store,buy
840464,Google Play Movies,buy
840464,YouTube,buy
1088434,Google Play Movies,rent
1088434,YouTube,rent
1088434,Fandango At Home,rent
1088434,Amazon Video,buy
1088434,Google Play Movies,buy
1088434,YouTube,buy
1088434,Fandango At Home,buy
1634301,Amazon Video,rent
1634301,Amazon Video,buy
1084242,Amazon Video,rent
1084242,Apple TV Store,rent
1084242,Amazon Video,buy
1084242,Apple TV Store,buy
1084242,Google Play Movies,buy
1084242,YouTube,buy
1084242,Fandango At Home,buy
1168190,Amazon Prime Video,flatrate
1168190,Amazon Prime Video with Ads,flatrate
696393,Amazon Video,rent
696393,Fandango At Home,rent
696393,Amazon Video,buy
696393,Fandango At Home,buy
1199193,Amazon Video,rent
1199193,Apple TV Store,rent
1199193,Google Play Movies,rent
1199193,YouTube,rent
1199193,Fandango At Home,rent
1199193,Amazon Video,buy
1199193,Apple TV Store,buy
1199193,Google Play Movies,buy
1199193,YouTube,buy
1199193,Fandango At Home,buy
1159831,Fandango At Home,buy
755898,Amazon Prime Video,flatrate
755898,Amazon Prime Video with Ads,flatrate
1368166,Amazon Video,rent
1368166,Apple TV Store,rent
1368166,Google Play Movies,rent
1368166,YouTube,rent
1368166,Fandango At Home,rent
1368166,Amazon Video,buy
1368166,Apple TV Store,buy
1368166,Google Play Movies,buy
1368166,YouTube,buy
1368166,Fandango At Home,buy
1499984,Amazon Prime Video,flatrate
1499984,Amazon Prime Video with Ads,flatrate
1499984,Amazon Video,rent
1499984,Apple TV Store,rent
1499984,Google Play Movies,rent
1499984,YouTube,rent
1499984,Fandango At Home,rent
1499984,Plex,rent
1499984,Amazon Video,buy
1499984,Apple TV Store,buy
1499984,Google Play Movies,buy
1499984,YouTube,buy
1499984,Fandango At Home,buy
1242898,Hulu,flatrate
1242898,Amazon Video,rent
1242898,Google Play Movies,rent
1242898,YouTube,rent
1242898,Fandango At Home,rent
1242898,Amazon Video,buy
1242898,Apple TV Store,buy
1242898,Google Play Movies,buy
1242898,YouTube,buy
1242898,Fandango At Home,buy
937101,Film Movement Plus,flatrate
937101,Apple TV Store,rent
937101,Google Play Movies,rent
937101,YouTube,rent
937101,Fandango At Home,rent
937101,Plex,rent
937101,Apple TV Store,buy
937101,Google Play Movies,buy
937101,YouTube,buy
937101,Fandango At Home,buy
1272837,Amazon Video,rent
1272837,Google Play Movies,rent
1272837,YouTube,rent
1272837,Fandango At Home,rent
1272837,Amazon Video,buy
1272837,Google Play Movies,buy
1272837,YouTube,buy
1272837,Fandango At Home,buy
1401778,Amazon Video,rent
1401778,Apple TV Store,rent
1401778,Google Play Movies,rent
1401778,YouTube,rent
1401778,Fandango At Home,rent
1401778,FlixFling,rent
1401778,Plex,rent
1401778,Amazon Video,buy
1401778,Apple TV Store,buy
1401778,Google Play Movies,buy
1401778,YouTube,buy
1401778,Fandango At Home,buy
10156,Amazon Video,rent
10156,Apple TV Store,rent
10156,Google Play Movies,rent
10156,YouTube,rent
10156,Fandango At Home,rent
10156,Spectrum On Demand,rent
10156,Fandango At Home,buy
1426964,Netflix,flatrate
1426964,Netflix Standard with Ads,flatrate
1306368,Netflix,flatrate
1306368,Netflix Standard with Ads,flatrate
1387382,Amazon Video,rent
1387382,Apple TV Store,rent
1387382,Google Play Movies,rent
1387382,YouTube,rent
1387382,Fandango At Home,rent
1387382,Plex,rent
1387382,Amazon Video,buy
1387382,Apple TV Store,buy
1387382,Google Play Movies,buy
1387382,YouTube,buy
1387382,Fandango At Home,buy
1167307,Angel Studios,flatrate
1167307,Amazon Video,rent
1167307,Apple TV Store,rent
1167307,Fandango At Home,rent
1167307,Amazon Video,buy
1167307,Apple TV Store,buy
1167307,Fandango At Home,buy
1584215,Amazon Video,rent
1584215,Apple TV Store,rent
1584215,Google Play Movies,rent
1584215,YouTube,rent
1584215,Fandango At Home,rent
1584215,FlixFling,rent
1584215,Plex,rent
1584215,Amazon Video,buy
1584215,Apple TV Store,buy
1584215,Google Play Movies,buy
1584215,YouTube,buy
1584215,Fandango At Home,buy
1353333,Amazon Prime Video,flatrate
1353333,Amazon Prime Video with Ads,flatrate
1353333,Amazon Video,rent
1353333,Fandango At Home,rent
1353333,Amazon Video,buy
1353333,Fandango At Home,buy
425274,Apple TV Store,rent
425274,Google Play Movies,rent
425274,YouTube,rent
425274,Fandango At Home,rent
425274,FlixFling,rent
425274,Plex,rent
425274,Apple TV Store,buy
425274,Google Play Movies,buy
425274,YouTube,buy
425274,Fandango At Home,buy
1511417,Netflix,flatrate
1234731,Amazon Video,rent
1234731,Apple TV Store,rent
1234731,Google Play Movies,rent
1234731,YouTube,rent
1234731,Fandango At Home,rent
1234731,Amazon Video,buy
1234731,Apple TV Store,buy
1234731,Google Play Movies,buy
1234731,YouTube,buy
1234731,Fandango At Home,buy
1601243,Amazon Video,rent
1601243,Apple TV Store,rent
1601243,Google Play Movies,rent
1601243,YouTube,rent
1601243,Fandango At Home,rent
1601243,Plex,rent
1601243,Amazon Video,buy
1601243,Apple TV Store,buy
1601243,Google Play Movies,buy
1601243,YouTube,buy
1601243,Fandango At Home,buy
1448560,fuboTV,flatrate
1448560,MGM+ Amazon Channel,flatrate
1448560,MGM Plus Roku Premium Channel,flatrate
1448560,MGM Plus,flatrate
1448560,Philo,flatrate
1448560,Amazon Video,rent
1448560,Apple TV Store,rent
1448560,Google Play Movies,rent
1448560,YouTube,rent
1448560,Fandango At Home,rent
1448560,Plex,rent
1448560,Amazon Video,buy
1448560,Apple TV Store,buy
1448560,Google Play Movies,buy
1448560,YouTube,buy
1448560,Fandango At Home,buy
1054867,HBO Max,flatrate
1054867,HBO Max Amazon Channel,flatrate
1054867,Amazon Video,rent
1054867,Apple TV Store,rent
1054867,Google Play Movies,rent
1054867,YouTube,rent
1054867,Fandango At Home,rent
1054867,Plex,rent
1054867,Amazon Video,buy
1054867,Apple TV Store,buy
1054867,Google Play Movies,buy
1054867,YouTube,buy
1054867,Fandango At Home,buy
1317288,Amazon Video,rent
1317288,Apple TV Store,rent
1317288,Fandango At Home,rent
1317288,Amazon Video,buy
1317288,Apple TV Store,buy
1317288,Fandango At Home,buy
1629382,Netflix,flatrate
1629382,Netflix Standard with Ads,flatrate
24428,Disney Plus,flatrate
24428,Amazon Video,rent
24428,Apple TV Store,rent
24428,Google Play Movies,rent
24428,YouTube,rent
24428,Fandango At Home,rent
24428,Amazon Video,buy
24428,Apple TV Store,buy
24428,Google Play Movies,buy
24428,YouTube,buy
24428,Fandango At Home,buy
1389149,Netflix,flatrate
1389149,Netflix Standard with Ads,flatrate
891644,Apple TV Store,rent
891644,Google Play Movies,rent
891644,YouTube,rent
891644,Fandango At Home,rent
891644,Plex,rent
891644,Apple TV Store,buy
891644,Google Play Movies,buy
891644,YouTube,buy
891644,Fandango At Home,buy
7451,Amazon Video,rent
7451,Apple TV Store,rent
7451,Google Play Movies,rent
7451,YouTube,rent
7451,Fandango At Home,rent
7451,Amazon Video,buy
7451,Apple TV Store,buy
7451,Google Play Movies,buy
7451,YouTube,buy
7451,Fandango At Home,buy
1461181,Starz Apple TV Channel,flatrate
1461181,Starz Roku Premium Channel,flatrate
1461181,Starz,flatrate
1461181,Philo,flatrate
1461181,Starz Amazon Channel,flatrate
1461181,Amazon Video,rent
1461181,Apple TV Store,rent
1461181,Google Play Movies,rent
1461181,YouTube,rent
1461181,Fandango At Home,rent
1461181,Amazon Video,buy
1461181,Apple TV Store,buy
1461181,Google Play Movies,buy
