movie_id,person_id,name,cast_order
19995,65731,Sam Worthington,0
19995,8691,Zoe Saldaña,1
19995,10205,Sigourney Weaver,2
19995,32747,Stephen Lang,3
19995,17647,Michelle Rodriguez,4
19995,1771,Giovanni Ribisi,5
19995,59231,Joel David Moore,6
19995,30485,CCH Pounder,7
19995,15853,Wes Studi,8
19995,10964,Laz Alonso,9
27205,6193,Leonardo DiCaprio,0
27205,24045,Joseph Gordon-Levitt,1
27205,3899,Ken Watanabe,2
27205,2524,Tom Hardy,3
27205,27578,Elliot Page,4
27205,95697,Dileep Rao,5
27205,2037,Cillian Murphy,6
27205,13022,Tom Berenger,7
27205,8293,Marion Cotillard,8
27205,4935,Pete Postlethwaite,9
157336,10297,Matthew McConaughey,0
157336,1813,Anne Hathaway,1
157336,3895,Michael Caine,2
157336,83002,Jessica Chastain,3
157336,1893,Casey Affleck,4
157336,8210,Wes Bentley,5
157336,17052,Topher Grace,6
157336,851784,Mackenzie Foy,7
157336,9560,Ellen Burstyn,8
157336,12074,John Lithgow,9
13,31,Tom Hanks,0
13,32,Robin Wright,1
13,33,Gary Sinise,2
13,35,Sally Field,3
13,34,Mykelti Williamson,4
13,37821,Michael Conner Humphreys,5
13,204997,Hanna Hall,6
13,9640,Haley Joel Osment,7
13,6751,Siobhan Fallon Hogan,8
13,3817610,Rebecca Williams,9
278,504,Tim Robbins,0
278,192,Morgan Freeman,1
278,4029,Bob Gunton,2
278,6573,William Sadler,3
278,6574,Clancy Brown,4
278,6575,Gil Bellows,5
278,6577,James Whitmore,6
278,6576,Mark Rolston,7
278,12645,Jeffrey DeMunn,8
278,92119,Larry Brandenburg,9
24428,3223,Robert Downey Jr.,0
24428,16828,Chris Evans,1
24428,103,Mark Ruffalo,2
24428,74568,Chris Hemsworth,3
24428,1245,Scarlett Johansson,4
24428,17604,Jeremy Renner,5
24428,91606,Tom Hiddleston,6
24428,9048,Clark Gregg,7
24428,71189,Cobie Smulders,8
24428,1640,Stellan Skarsgård,9
1726,3223,Robert Downey Jr.,0
1726,18288,Terrence Howard,1
1726,1229,Jeff Bridges,2
1726,12052,Gwyneth Paltrow,3
1726,57451,Leslie Bibb,4
1726,17857,Shaun Toub,5
1726,57452,Faran Tahir,6
1726,9048,Clark Gregg,7
1726,17200,Bill Smitrovich,8
1726,173810,Sayed Badreya,9
671,10980,Daniel Radcliffe,0
671,10989,Rupert Grint,1
671,10990,Emma Watson,2
671,194,Richard Harris,3
671,10993,Tom Felton,4
671,4566,Alan Rickman,5
671,1923,Robbie Coltrane,6
671,10978,Maggie Smith,7
671,10983,Richard Griffiths,8
671,10985,Ian Hart,9
550,819,Edward Norton,0
550,287,Brad Pitt,1
550,1283,Helena Bonham Carter,2
550,7470,Meat Loaf,3
550,7499,Jared Leto,4
550,7471,Zach Grenier,5
550,7497,Holt McCallany,6
550,7498,Eion Bailey,7
550,7472,Richmond Arquette,8
550,7219,David Andrews,9
68718,134,Jamie Foxx,0
68718,27319,Christoph Waltz,1
68718,6193,Leonardo DiCaprio,2
68718,11703,Kerry Washington,3
68718,2231,Samuel L. Jackson,4
68718,27740,Walton Goggins,5
68718,27770,Dennis Christopher,6
68718,1736,James Remar,7
68718,1067187,David Steen,8
68718,1133063,Dana Gourrier,9
118340,73457,Chris Pratt,0
118340,8691,Zoe Saldaña,1
118340,543530,Dave Bautista,2
118340,12835,Vin Diesel,3
118340,51329,Bradley Cooper,4
118340,72095,Lee Pace,5
118340,12132,Michael Rooker,6
118340,543261,Karen Gillan,7
118340,938,Djimon Hounsou,8
118340,4764,John C. Reilly,9
293660,10859,Ryan Reynolds,0
293660,54882,Morena Baccarin,1
293660,1047649,Ed Skrein,2
293660,51990,T.J. Miller,3
293660,78452,Gina Carano,4
293660,122750,Leslie Uggams,5
293660,1492326,Brianna Hildebrand,6
293660,80507,Stefan Kapičić,7
293660,1109702,Karan Soni,8
293660,215887,Randal Reeder,9
299536,3223,Robert Downey Jr.,0
299536,16828,Chris Evans,1
299536,74568,Chris Hemsworth,2
299536,16851,Josh Brolin,3
299536,103,Mark Ruffalo,4
299536,1245,Scarlett Johansson,5
299536,1896,Don Cheadle,6
299536,71580,Benedict Cumberbatch,7
299536,1136406,Tom Holland,8
299536,172069,Chadwick Boseman,9
680,8891,John Travolta,0
680,2231,Samuel L. Jackson,1
680,139,Uma Thurman,2
680,62,Bruce Willis,3
680,10182,Ving Rhames,4
680,1037,Harvey Keitel,5
680,7036,Eric Stoltz,6
680,3129,Tim Roth,7
680,99,Amanda Plummer,8
680,2319,Maria de Medeiros,9
155,3894,Christian Bale,0
155,1810,Heath Ledger,1
155,6383,Aaron Eckhart,2
155,3895,Michael Caine,3
155,1579,Maggie Gyllenhaal,4
155,64,Gary Oldman,5
155,192,Morgan Freeman,6
155,53651,Monique Gabriela Curnen,7
155,57597,Ron Dean,8
155,2037,Cillian Murphy,9
11324,6193,Leonardo DiCaprio,0
11324,103,Mark Ruffalo,1
11324,2282,Ben Kingsley,2
11324,2201,Max von Sydow,3
11324,1812,Michelle Williams,4
11324,1246,Emily Mortimer,5
11324,1276,Patricia Clarkson,6
11324,17183,Jackie Earle Haley,7
11324,15854,Ted Levine,8
11324,3911,John Carroll Lynch,9
597,6193,Leonardo DiCaprio,0
597,204,Kate Winslet,1
597,1954,Billy Zane,2
597,8534,Kathy Bates,3
597,3713,Frances Fisher,4
597,8535,Gloria Stuart,5
597,2053,Bill Paxton,6
597,1369,Bernard Hill,7
597,2076,David Warner,8
597,8536,Victor Garber,9
299534,3223,Robert Downey Jr.,0
299534,16828,Chris Evans,1
299534,103,Mark Ruffalo,2
299534,74568,Chris Hemsworth,3
299534,1245,Scarlett Johansson,4
299534,17604,Jeremy Renner,5
299534,16851,Josh Brolin,6
299534,1896,Don Cheadle,7
299534,22226,Paul Rudd,8
299534,71580,Benedict Cumberbatch,9
271110,16828,Chris Evans,0
271110,3223,Robert Downey Jr.,1
271110,1245,Scarlett Johansson,2
271110,60898,Sebastian Stan,3
271110,53650,Anthony Mackie,4
271110,1896,Don Cheadle,5
271110,17604,Jeremy Renner,6
271110,172069,Chadwick Boseman,7
271110,6162,Paul Bettany,8
271110,550843,Elizabeth Olsen,9
120,109,Elijah Wood,0
120,1327,Ian McKellen,1
120,110,Viggo Mortensen,2
120,1328,Sean Astin,3
120,65,Ian Holm,4
120,882,Liv Tyler,5
120,113,Christopher Lee,6
120,48,Sean Bean,7
120,1329,Billy Boyd,8
120,1330,Dominic Monaghan,9
475557,73421,Joaquin Phoenix,0
475557,380,Robert De Niro,1
475557,1545693,Zazie Beetz,2
475557,4432,Frances Conroy,3
475557,16841,Brett Cullen,4
475557,74242,Shea Whigham,5
475557,121718,Bill Camp,6
475557,1377670,Glenn Fleshler,7
475557,1416396,Leigh Gill,8
475557,6181,Josh Pais,9
16869,287,Brad Pitt,0
16869,19119,Mélanie Laurent,1
16869,27319,Christoph Waltz,2
16869,16847,Eli Roth,3
16869,17288,Michael Fassbender,4
16869,9824,Diane Kruger,5
16869,3872,Daniel Brühl,6
16869,1844,Til Schweiger,7
16869,32823,Gedeon Burkhard,8
16869,51636,Jacky Ido,9
121,109,Elijah Wood,0
121,1327,Ian McKellen,1
121,110,Viggo Mortensen,2
121,1328,Sean Astin,3
121,1333,Andy Serkis,4
121,655,John Rhys-Davies,5
121,114,Orlando Bloom,6
121,1369,Bernard Hill,7
121,502,Miranda Otto,8
121,1330,Dominic Monaghan,9
76341,2524,Tom Hardy,0
76341,6885,Charlize Theron,1
76341,3292,Nicholas Hoult,2
76341,26060,Hugh Keays-Byrne,3
76341,1056053,Josh Helman,4
76341,24898,Nathan Jones,5
76341,37153,Zoë Kravitz,6
76341,236048,Rosie Huntington-Whiteley,7
76341,98522,Riley Keough,8
76341,1036288,Abbey Lee,9
603,6384,Keanu Reeves,0
603,2975,Laurence Fishburne,1
603,530,Carrie-Anne Moss,2
603,1331,Hugo Weaving,3
603,9364,Gloria Foster,4
603,532,Joe Pantoliano,5
603,9372,Marcus Chong,6
603,7244,Julian Arahanga,7
603,9374,Matt Doran,8
603,9376,Belinda McClory,9
122,109,Elijah Wood,0
122,1327,Ian McKellen,1
122,110,Viggo Mortensen,2
122,1328,Sean Astin,3
122,1333,Andy Serkis,4
122,1330,Dominic Monaghan,5
122,1329,Billy Boyd,6
122,1381,John Noble,7
122,1371,David Wenham,8
122,502,Miranda Otto,9
99861,3223,Robert Downey Jr.,0
99861,74568,Chris Hemsworth,1
99861,103,Mark Ruffalo,2
99861,16828,Chris Evans,3
99861,1245,Scarlett Johansson,4
99861,17604,Jeremy Renner,5
99861,13548,James Spader,6
99861,2231,Samuel L. Jackson,7
99861,1896,Don Cheadle,8
99861,27428,Aaron Taylor-Johnson,9
106646,6193,Leonardo DiCaprio,0
106646,21007,Jonah Hill,1
106646,234352,Margot Robbie,2
106646,10297,Matthew McConaughey,3
106646,3497,Kyle Chandler,4
106646,3026,Rob Reiner,5
106646,19498,Jon Bernthal,6
106646,15277,Jon Favreau,7
106646,56024,Jean Dujardin,8
106646,34901,Joanna Lumley,9
672,10980,Daniel Radcliffe,0
672,10989,Rupert Grint,1
672,10990,Emma Watson,2
672,11181,Kenneth Branagh,3
672,13014,Toby Jones,4
672,1923,Robbie Coltrane,5
