movie_id,person_id,job
1730,5602,Director
1730,5602,Producer
1730,5604,Producer
474354,25598,Director
474354,2997,Producer
474354,120606,Producer
474354,1046160,Producer
474354,1438699,Original Music Composer
15357,78146,Director
15357,59,Screenplay
15357,59,Producer
1280,1188,Director
1280,1136456,Producer
1280,1188,Screenplay
1280,1188,Producer
1280,16280,Original Music Composer
324560,80630,Director
324560,6766,Producer
324560,48590,Producer
324560,56827,Original Music Composer
11171,19224,Screenplay
11171,19224,Director
11171,68439,Original Music Composer
11171,19224,Producer
11171,65613,Producer
11171,68440,Original Music Composer
11171,21117,Producer
11699,17211,Producer
11699,589229,Producer
11699,6818,Director
11699,22815,Producer
11699,32035,Producer
11699,933120,Producer
11699,4140,Original Music Composer
11699,589230,Producer
615667,31839,Screenplay
615667,10687,Producer
615667,192272,Original Music Composer
615667,5292,Producer
615667,5369,Director
615667,51612,Producer
823625,3456122,Producer
823625,206574,Director
823625,3136100,Screenplay
823625,1014925,Producer
823625,4140,Original Music Composer
823625,206574,Producer
823625,1319499,Producer
12193,71600,Director
12193,71601,Screenplay
12193,71602,Screenplay
12193,4504,Producer
12193,21635,Producer
12193,39993,Original Music Composer
12193,4507,Producer
12193,52114,Screenplay
12193,52115,Screenplay
9013,769,Director
9013,21792,Screenplay
9013,769,Producer
9013,531,Original Music Composer
419831,1284964,Director
419831,1125823,Original Music Composer
419831,207269,Screenplay
419831,17828,Producer
419831,54204,Producer
419831,10965,Producer
419831,207269,Producer
419831,1001661,Producer
419831,1835872,Producer
419831,18826,Producer
419831,1542343,Producer
419831,43940,Producer
103328,27977,Director
103328,41021,Producer
103328,1033714,Producer
103328,1209226,Producer
103328,1227311,Original Music Composer
103328,1313833,Producer
9909,60295,Director
9909,5144,Screenplay
9909,771,Producer
9909,770,Producer
9909,1160,Producer
9909,34060,Original Music Composer
9909,34061,Original Music Composer
715931,55177,Original Music Composer
715931,20907,Director
715931,114410,Producer
715931,51612,Producer
715931,2888,Producer
715931,1027550,Producer
768362,2093036,Screenplay
768362,2093041,Screenplay
768362,1639084,Producer
768362,2093041,Director
768362,2093036,Director
768362,1568671,Producer
768362,1932296,Producer
768362,1661771,Original Music Composer
535544,10747,Screenplay
535544,943340,Producer
535544,10747,Producer
535544,1252498,Producer
535544,1219201,Director
535544,17252,Original Music Composer
4912,1461,Director
4912,202,Screenplay
4912,29525,Producer
4912,39993,Original Music Composer
6961,53016,Producer
6961,53015,Producer
6961,53017,Original Music Composer
6961,53014,Producer
6961,51600,Director
6961,16854,Producer
6961,56718,Screenplay
58857,17282,Director
58857,1029281,Producer
58857,1173795,Producer
58857,1420701,Producer
58857,4468300,Producer
58857,4468304,Producer
58857,2756635,Producer
58857,3754517,Producer
58857,35633,Original Music Composer
58857,68114,Screenplay
468198,1538264,Screenplay
468198,1306691,Producer
468198,225160,Screenplay
468198,225160,Director
468198,550305,Original Music Composer
84174,217587,Director
84174,23659,Producer
84174,1018467,Producer
84174,80175,Producer
84174,1018472,Producer
84174,55710,Producer
84174,232004,Producer
84174,217587,Screenplay
21778,4275,Director
21778,24890,Original Music Composer
21778,131322,Producer
21778,4172244,Producer
11824,68529,Producer
11824,70610,Screenplay
11824,17310,Screenplay
11824,68530,Producer
11824,64877,Director
11824,63964,Original Music Composer
13888,83467,Director
13888,1216871,Producer
13888,83467,Producer
13888,7728,Original Music Composer
429471,77357,Director
429471,77357,Screenplay
429471,1420608,Screenplay
429471,12781,Producer
429471,1042699,Original Music Composer
429471,77357,Producer
2665,27746,Screenplay
2665,27746,Director
2665,7182,Original Music Composer
2665,3428,Producer
503619,1061773,Director
503619,7399,Producer
503619,113845,Original Music Composer
503619,212604,Producer
503619,521564,Producer
503619,59657,Producer
503619,84418,Producer
2977,29226,Director
2977,29227,Producer
2977,29230,Screenplay
2977,29228,Producer
2977,29229,Producer
2977,72854,Original Music Composer
2977,933683,Screenplay
2977,1252225,Producer
2977,953724,Producer
2977,1120551,Producer
445,6011,Director
445,2335,Producer
445,6099,Producer
445,6098,Producer
445,6011,Screenplay
445,32463,Producer
526,7189,Screenplay
526,7190,Screenplay
526,7191,Screenplay
526,7200,Producer
526,7201,Original Music Composer
526,7187,Producer
526,7188,Screenplay
526,7187,Director
71864,3290,Screenplay
71864,3290,Director
71864,1237747,Producer
71864,86906,Producer
71864,40375,Producer
71864,17767,Original Music Composer
1124620,1321008,Producer
1124620,1211214,Producer
1124620,999763,Producer
1124620,90609,Director
1124620,90609,Screenplay
1124620,2127,Producer
1124620,1205435,Original Music Composer
118406,1067794,Director
118406,3297661,Producer
118406,1149260,Producer
118406,1067802,Screenplay
118406,1282991,Original Music Composer
503616,13426,Director
503616,66733,Producer
503616,52599,Producer
503616,52004,Producer
503616,16866,Producer
503616,1589,Original Music Composer
309,4454,Screenplay
309,4474,Original Music Composer
309,1559,Producer
309,4453,Director
309,4453,Screenplay
406385,1302751,Original Music Composer
406385,72051,Producer
406385,1108174,Producer
406385,1314015,Screenplay
406385,1098027,Screenplay
406385,1314015,Director
406385,1566497,Screenplay
11639,55983,Director
11639,58337,Screenplay
11639,12401,Producer
11639,7908,Director
11639,7020,Original Music Composer
11639,55983,Producer
807172,64141,Director
807172,84348,Producer
807172,4700,Producer
807172,64141,Screenplay
807172,1203317,Producer
807172,1279781,Screenplay
13002,570267,Producer
13002,440763,Director
13002,1093159,Producer
13002,1093160,Producer
13002,1011185,Original Music Composer
1029955,122423,Producer
1029955,43147,Producer
1029955,43144,Producer
1029955,1651851,Producer
1029955,122423,Director
1029955,4091704,Original Music Composer
427900,1714926,Director
427900,1697550,Producer
427900,4500,Original Music Composer
427900,17698,Producer
2800,1886,Screenplay
2800,3026,Director
2800,28632,Producer
2800,16731,Producer
2800,9251,Original Music Composer
60307,178426,Screenplay
60307,33183,Director
60307,1231184,Screenplay
60307,32608,Producer
60307,1999,Original Music Composer
60307,935634,Producer
7979,12995,Director
7979,9813,Screenplay
7979,15906,Producer
7979,54252,Producer
7979,1434549,Producer
7979,405,Original Music Composer
12435,72205,Director
12435,72206,Screenplay
12435,72205,Screenplay
12435,10687,Producer
12435,12997,Producer
12435,72206,Director
12435,72210,Original Music Composer
10185,3953,Producer
10185,46077,Producer
10185,31211,Producer
10185,67358,Screenplay
10185,45996,Director
10185,34305,Original Music Composer
10185,961827,Original Music Composer
10185,52790,Producer
10185,68602,Producer
9825,59649,Producer
9825,58712,Director
9825,59650,Producer
9825,59650,Screenplay
9825,9039,Original Music Composer
9075,10491,Director
9075,43709,Producer
9075,10491,Screenplay
9075,19638,Producer
9075,9119,Screenplay
9075,54204,Producer
9075,54205,Producer
9075,851,Original Music Composer
9075,56915,Producer
9075,27873,Producer
9075,43710,Producer
9075,18904,Producer
12094,56578,Director
12094,5953,Producer
12094,56578,Producer
12094,9656,Producer
15159,77951,Screenplay
15159,21981,Director
15159,77950,Screenplay
15159,23486,Original Music Composer
15159,29015,Producer
15159,67773,Screenplay
51999,3055,Director
51999,89689,Screenplay
51999,7583,Producer
51999,24178,Producer
51999,46266,Original Music Composer
257,3556,Director
257,3558,Screenplay
257,3559,Producer
257,3556,Producer
257,3560,Producer
257,3562,Original Music Composer
397722,1620987,Director
397722,105648,Producer
397722,161932,Producer
397722,1242110,Producer
397722,1731864,Producer
397722,1731867,Producer
397722,2012597,Original Music Composer
2637,27549,Producer
2637,68602,Producer
2637,27548,Screenplay
2637,3953,Producer
2637,11676,Director
2637,2257403,Original Music Composer
2637,2197869,Original Music Composer
2637,2197868,Original Music Composer
75674,90429,Producer
75674,90429,Director
75674,293911,Producer
75674,293911,Director
75674,226463,Original Music Composer
178809,229002,Director
178809,229002,Screenplay
178809,985636,Producer
178809,8320,Original Music Composer
178809,1204186,Screenplay
178809,1138934,Producer
178809,1204187,Screenplay
178809,69374,Producer
178809,1141814,Producer
1957,18330,Producer
1957,10781,Director
1957,11472,Producer
1957,6489,Original Music Composer
1497,1122495,Producer
