movie_id,title,original_title,original_language,overview,tagline,status,genre_ids,genres,production_countries,popularity,release_date,runtime,budget,revenue,vote_average,vote_count,imdb_id
8989,Harry and the Hendersons,Harry and the Hendersons,en,"Returning from a hunting trip in the forest, the Henderson family's car hits an animal in the road. At first they fear it was a man, but when they examine the ""body"" they find it's a ""bigfoot"". They think it's dead so they decide to take it home (there could be some money in this). As you guessed, it isn't dead. Far from being the ferocious monster they fear ""Harry"" to be, he's a friendly giant.","When You Can't Believe Your Eyes, Trust Your Heart.",Released,35|10751|14|18,Comedy|Family|Fantasy|Drama,US|BE,2.1868,1987-06-05,110,10000000,49998613,6.1,721,tt0093148
736769,They Cloned Tyrone,They Cloned Tyrone,en,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy lurking directly beneath their neighborhood.,Beware cheap imitations.,Released,35|878|9648,Comedy|Science Fiction|Mystery,US,4.2915,2023-06-14,122,47000000,0,6.6,720,tt9873892
2830,My Boss's Daughter,My Boss's Daughter,en,"When a young man agrees to housesit for his boss, he thinks it'll be the perfect opportunity to get close to the woman he desperately has a crush on – his boss's daughter. But he doesn't plan on the long line of other houseguests that try to keep him from his mission. And he also has to deal with the daughter's older brother, who's on the run from local drug dealers.",There are some things you just don't do.,Released,35|10749,Comedy|Romance,US,1.8102,2003-08-21,83,14000000,0,5.0,720,tt0270980
375012,Under the Shadow,زیر سایه,fa,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.",Fear will find you.,Released,18|27|10752,Drama|Horror|War,JO|GB,1.6217,2016-09-30,84,0,0,6.483,720,tt4273292
489930,Blindspotting,Blindspotting,en,"Collin must make it through his final three days of probation for a chance at a new beginning. He and his troublemaking childhood best friend, Miles, work as movers, and when Collin witnesses a police shooting, the two men’s friendship is tested as they grapple with identity and their changed realities in the rapidly-gentrifying neighborhood they grew up in.",Change the way you see.,Released,35|80|18,Comedy|Crime|Drama,US,1.6848,2018-07-20,95,0,0,7.3,719,tt7242142
11953,Kagemusha,影武者,ja,"Akira Kurosawa's lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.",The Shadow of a man can never stand up and walk on its own.,Released,28|18|36|10752,Action|Drama|History|War,JP|US,4.0843,1980-04-26,180,6000000,4000000,7.8,721,tt0080979
405177,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",en,"When architect-turned-recluse Bernadette Fox goes missing prior to a family trip to Antarctica, her 15-year-old daughter, Bee, goes on a quest with Bernadette's husband to find her.",Disappearances can be deceiving,Released,35|18,Comedy|Drama,US,1.5528,2019-08-16,109,20000000,0,6.6,719,tt2365580
205601,Belle,Belle,en,"Dido Elizabeth Bell, the illegitimate, mixed-race daughter of a Royal Navy admiral, plays an important role in the campaign to abolish slavery in England.",Based on the inspiring true story,Released,18,Drama,GB,4.5015,2013-05-01,105,10900000,16500000,7.1,720,tt2404181
353979,Pet,Pet,en,"A man bumps into an old crush and becomes obsessed. After several failed attempts at winning her over, he kidnaps her and holds her captive underneath the animal shelter where he works.","If You Love Something, Never Let It Go.",Released,27|53,Horror|Thriller,ES|US,2.7198,2016-09-24,94,0,22003,5.842,720,tt1183374
433502,The Aftermath,The Aftermath,en,"In the aftermath of World War II, a British colonel and his wife are assigned to live in Hamburg during the post-war reconstruction, but tensions arise with the German widower who lives with them.",,Released,10752|18|10749,War|Drama|Romance,US|GB|DE,2.2068,2019-03-01,108,0,9215591,6.4,719,tt5977276
2768,American Gigolo,American Gigolo,en,"Julian makes a lucrative living as an escort to older women in the Los Angeles area. He begins a relationship with Michelle, a local politician's wife, without expecting any pay. One of his clients is murdered and Detective Sunday begins pumping him for details on his different clients, something he is reluctant to do considering the nature of his work. Julian begins to suspect he's being framed. Meanwhile Michelle begins to fall in love with him.",He's the highest paid lover in Beverly Hills. He leaves women feeling more alive than they've ever felt before. Except one.,Released,80|18|9648,Crime|Drama|Mystery,US,6.6847,1980-02-01,117,5000000,52700000,6.2,719,tt0080365
97434,Gambit,Gambit,en,"An art curator decides to seek revenge on his abusive boss by conning him into buying a fake Monet, but his plan requires the help of an eccentric and unpredictable Texas rodeo queen.",A fake masterpiece. The perfect plan.,Released,35|80,Comedy|Crime,US,5.7184,2012-04-25,89,0,1203942,5.5,718,tt0404978
655082,Eiffel,Eiffel,fr,"The French government is asking Gustave Eiffel to design something spectacular for the 1889 Paris World Fair, but he simply wants to design the subway—until he crosses paths with a mysterious woman from his past.",You will never look at it the same way again.,Released,10749|18,Romance|Drama,BE|FR|DE,1.9431,2021-10-07,108,26000000,13000000,6.2,719,tt10366514
13320,Funny Face,Funny Face,en,A shy Greenwich Village book clerk is discovered by a fashion photographer and whisked off to Paris where she becomes a reluctant model.,S'Wonderful! S'Marvelous! ...She's The Fairest Lady of All!,Released,10402|35|10749,Music|Comedy|Romance,US,2.7406,1957-02-13,103,0,0,7.0,719,tt0050419
492353,Put Grandma in the Freezer,Metti la nonna in freezer,it,"Simone, a clumsy financier, falls in love with Claudia, who’s living on her grandma’s retirement checks. When the old lady dies Claudia hides the body in a freezer, and sets up a fraud with the help of some friends to avoid bankruptcy.",,Released,35,Comedy,IT,1.1406,2018-03-15,104,0,0,6.1,718,tt6982104
484751,Through the Fire,Sauver ou périr,fr,"Franck is a firefighter in Paris. He saves people. He lives at the station with his wife, who is about to have twins. He’s happy. During a call out to a fire, he puts himself in danger, to save his men. He’s going to have to learn to live again and accept to be the one being saved, this time.",,Released,18,Drama,FR,0.8966,2018-11-28,116,0,0,7.3,718,tt7210426
12088,Fortress,Fortress,en,"In the future, the inmates of a private underground prison are computer-controlled with cameras, dream readers, and devices that can cause pain or death. John and his illegally pregnant wife Karen are locked inside ""The Fortress"" but are determined to escape before the birth of their baby.","In the year 2017, one corporation is building a fortress for the ultimate takeover... your mind.",Released,28|53|878,Action|Thriller|Science Fiction,AU|US,2.9592,1992-12-18,95,8000000,6739141,6.0,718,tt0106950
267192,Genius,Genius,en,"New York in the 1920s. Max Perkins, a literary editor is the first to sign such subsequent literary greats as Ernest Hemingway and F. Scott Fitzgerald. When a sprawling, chaotic 1,000-page manuscript by an unknown writer falls into his hands, Perkins is convinced he has discovered a literary genius.",Max Perkins discovered Ernest Hemingway and F. Scott Fitzgerald. But he never met anyone like Thomas Wolfe.,Released,36|18,History|Drama,GB|US,3.5848,2016-06-10,104,0,5681622,6.5,717,tt1703957
450489,Irreplaceable You,Irreplaceable You,en,"A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam, who's clueless when it comes to dating.","Don't focus on what if, focus on what is.",Released,35|18|10749,Comedy|Drama|Romance,US,1.5872,2018-02-16,96,10000000,0,6.9,718,tt6119856
805327,Look Both Ways,Look Both Ways,en,"On the night of her college graduation, Natalie's life splits into parallel realities after she takes a pregnancy test. What will life and love bring?","Wherever life takes you, let love guide you.",Released,10749|18|35,Romance|Drama|Comedy,US,1.6655,2022-08-16,110,0,0,6.9,716,tt14298328
244566,Life After Beth,Life After Beth,en,"Zach is devastated by the unexpected death of his girlfriend, Beth. When she mysteriously returns, he gets a second chance at love. Soon his whole world turns upside down...",Boy meets girl. Girl eats boy.,Released,10749|35|27,Romance|Comedy|Horror,US,1.7447,2014-08-15,89,2400000,88273,5.5,717,tt2581244
291984,The Death & Life of John F. Donovan,The Death & Life of John F. Donovan,en,"A decade after the death of an American TV star, a young actor reminisces about the written correspondence he once shared with the former, as well as the impact those letters had on both their lives.",,Released,18,Drama,CA|GB,2.0934,2019-03-13,123,35000000,3326364,6.9,717,tt4042818
339404,The Layover,The Layover,en,"When their plane is rerouted due to a hurricane warning, two single female best friends find themselves competing for the same guy during an extended layover in St. Louis.",The flight is off. The fight is on.,Released,35|10749,Comedy|Romance,US,3.5489,2017-09-01,88,0,0,5.4,717,tt4565520
740925,No One Gets Out Alive,No One Gets Out Alive,en,An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,Don’t try to leave. It’ll only make things worse.,Released,27|9648|53,Horror|Mystery|Thriller,GB,2.6777,2021-09-29,85,0,0,5.873,717,tt13056008
648878,Eddington,Eddington,en,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",Hindsight is 2020.,Released,37|35|80,Western|Comedy|Crime,US|FI,8.3672,2025-07-16,148,25000000,13738227,6.4,716,tt31176520
287590,Saint Seiya: Legend of Sanctuary,聖闘士星矢 LEGEND of SANCTUARY,ja,"Mitsumasa Kido discovers a misterious baby in the himalayas whom he adopts as his grandaughter. 16 years later, Saori Kido is a young girl troubled by her mysterious powers. She is saved by Seiya from an assassin sent to kill her. Saori then learns she is the reincarnation of the Goddess Athena with Seiya being one of her Saints sworn to protect her. Upon learning of her destiny, she heads to the Sanctuary to rebel against the Pope's murderous plot.",,Released,28|16|14,Action|Animation|Fantasy,JP,3.6592,2014-06-21,93,8000000,17150803,6.6,716,tt2231489
248705,The Visitors: Bastille Day,Les Visiteurs : La Révolution,fr,"Stuck in the corridors of time, Godefroy de Montmirail and his faithful servant Jacquouille are projected to a time of profound political and social upheavals: the French Revolution... specifically, The Terror, time of great dangers, during which the descendants of Godefroy and Jacquouille had their castle and all their property confiscated by arrogant aristocrats, fleeing and lifes hanging by a thread.",,Released,35|14,Comedy|Fantasy,FR,1.7769,2016-03-23,110,25868826,18552314,4.2,716,tt2441982
86835,Knight of Cups,Knight of Cups,en,"Rick is a screenwriter living in Los Angeles. While successful in his career, his life feels empty. Haunted and confused, he finds temporary solace in the decadent Hollywood excess that defines his existence. Women provide a distraction to his daily pain, and every encounter brings him closer to finding his place in the world.",A quest.,Released,18|10749,Drama|Romance,US,3.9595,2015-09-10,118,0,566006,5.696,716,tt2101383
2155,Reindeer Games,Reindeer Games,en,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",The trap is set. The game is on.,Released,53|28|80,Thriller|Action|Crime,US,3.3352,2000-02-25,104,42000000,32168970,5.7,717,tt0184858
624808,Love Wedding Repeat,Love Wedding Repeat,en,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",One wedding. One simple plan. What could possibly go wrong?,Released,35|10749,Comedy|Romance,GB|IT,1.3071,2020-04-10,100,0,0,5.6,716,tt5096470
75761,John Dies at the End,John Dies at the End,en,"A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.",Just so you know... they're sorry for anything that's about to happen.,Released,27|35,Horror|Comedy,US|MY,4.9821,2013-01-25,99,1000000,142000,6.278,716,tt1783732
10552,Cat's Eye,Cat's Eye,en,"Three short stories linked by a stray cat that roams from one tale to the next, in this creepy triptych that begins as Dick tries to quit smoking by any means necessary. Next, we meet Johnny, an adulterous man who's forced by his lover's husband onto a building's hazardous ledge. Finally, Amanda is threatened by an evil gnome who throws suspicion on the family cat.",Follow the newest cat-and-creature game as played through.,Released,27|53,Horror|Thriller,NL|US,2.7324,1985-04-12,94,7000000,13100000,6.713,716,tt0088889
763148,Time Is Up,Time Is Up,en,"Vivien, an accomplished student with a passion for physics, and Roy, a troubled young man, are involved in an accident that forces them to reclaim their lives one minute at the time.",Falling in love is a state of change.,Released,10749|18,Romance|Drama,IT,2.4332,2021-09-09,108,0,0,6.5,714,tt13438734
11159,Secrets & Lies,Secrets & Lies,en,"After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She's shocked when her research leads her to Cynthia, a working class white woman.",Roxanne drives her mother crazy. Maurice never speaks to his niece. Cynthia has a shock for her family. Monica can't talk to her husband. Hortense has never met her mother.,Released,18,Drama,GB|FR,1.783,1996-05-24,142,4500000,13417292,7.6,714,tt0117589
8736,Dikkenek,Dikkenek,fr,"Jean-Claude is a loud-mouthed, know-it-all and full time boor who is best friends with Stef, a self-styled lady killer who would do better with the fairer sex if he could work up the ambition to wake up in the morning. Stef has decided that he may need some help in finding the woman of his dreams, and embracing loyalty rather than logic he turns to Jean-Claude for advice.",,Released,35,Comedy,BE|FR,1.1893,2006-06-21,84,0,0,6.7,715,tt0456123
1175942,The Bad Guys 2,The Bad Guys 2,en,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",Back in badness.,Released,10751|35|80|12|16,Family|Comedy|Crime|Adventure|Animation,US,24.3665,2025-07-24,104,80000000,239449449,7.7,713,tt30017619
652483,Airplane Mode,Modo Avião,pt,"When Ana, an influencer, crashes her car while talking on the phone, she's shipped to her grumpy grandfather's farm -- and forced into a digital detox.",,Released,35|18|10749,Comedy|Drama|Romance,BR,2.8561,2020-01-23,96,0,0,6.2,715,tt10731748
5879,In the Realm of the Senses,愛のコリーダ,ja,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",Never before had a man and a woman loved each other so intensely.,Released,18|10749,Drama|Romance,JP|FR,9.4791,1976-09-15,105,0,7650000,6.6,716,tt0074102
11657,Le Cercle Rouge,Le Cercle rouge,fr,"When French criminal Corey gets released from prison, he resolves to never return. He is quickly pulled back into the underworld, however, after a chance encounter with escaped murderer Vogel. Along with former policeman and current alcoholic Jansen, they plot an intricate jewel heist. All the while, quirky Police Commissioner Mattei, who was the one to lose custody of Vogel, is determined to find him.",No place to hide . . . nowhere to run . . .,Released,80|53,Crime|Thriller,FR|IT,2.1728,1970-10-19,140,0,0,7.6,715,tt0065531
24226,The Verdict,The Verdict,en,"Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing, when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries, Galvin suddenly realizes that the case should actually go to court—to punish the guilty, to get a decent settlement for his clients... and to restore his standing as a lawyer.",Frank Galvin has one last chance to do something right.,Released,18,Drama,US,3.5551,1982-12-08,129,16000000,53977250,7.5,716,tt0084855
10344,The Fly II,The Fly II,en,"Martin Brundle, born of the human/fly, is adopted by his father's place of employment (Bartok Inc.) while the employees simply wait for his mutant chromosomes to come out of their dormant state.",Like Father Like Son,Released,27|878,Horror|Science Fiction,CA|US,2.2539,1989-02-10,105,16500000,38900000,5.7,714,tt0097368
11114,Pete's Dragon,Pete's Dragon,en,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",Brazzle Dazzle Brilliance!,Released,14|16|35|10751,Fantasy|Animation|Comedy|Family,US,2.0755,1977-11-03,128,10000000,0,6.3,714,tt0076538
1786,Au Revoir les Enfants,Au revoir les enfants,fr,"Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie—until a secret is revealed. Based on events from writer-director Malle’s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening.",,Released,18|10752,Drama|War,DE|FR,2.9136,1987-10-07,105,3000000,4542825,7.517,714,tt0092593
228973,Backcountry,Backcountry,en,A couple on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.,Survive.,Released,27|53,Horror|Thriller,CA,3.0061,2015-03-20,92,0,0,5.96,715,tt2944198
7300,One Fine Day,One Fine Day,en,"Melanie Parker, an architect and mother of Sammy, and Jack Taylor, a newspaper columnist and father of Maggie, are both divorced. They meet one morning when overwhelmed Jack is left unexpectedly with Maggie and forgets that Melanie was to take her to school. As a result, both children miss their school field trip and are stuck with the parents. The two adults project their negative stereotypes of ex-spouses on each other, but end up needing to rely on each other to watch the children as each must save his job. Humor is added by Sammy's propensity for lodging objects in his nose and Maggie's tendency to wander.",She was having a perfectly bad day... Then he came along and spoiled it.,Released,10749|35,Romance|Comedy,US,2.6034,1996-12-20,108,0,97529550,6.464,714,tt0117247
50725,Take Me Home Tonight,Take Me Home Tonight,en,"Recent MIT grad Matt Franklin should be well on his way to a successful career at a Fortune 500 company, but instead he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori, walks in and invites him to an end-of-summer party. With the help of his twin sister and his best friend, Matt hatches a plan to change the course of his life.",Best. Night. Ever.,Released,35|18|10749,Comedy|Drama|Romance,DE|US,1.7242,2011-03-04,97,19000000,6900000,6.0,714,tt0810922
227300,Stretch,Stretch,en,A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.,Shift happens.,Released,28|35|53,Action|Comedy|Thriller,US,1.4993,2014-10-14,94,0,0,6.189,714,tt2494280
10860,Steel Magnolias,Steel Magnolias,en,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",Six extraordinary friends. They share each other's laughter. They dry each other's tears.,Released,35|18|10749,Comedy|Drama|Romance,US,4.1269,1989-11-15,117,15000000,95904091,7.192,712,tt0098384
