movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
19995,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,en,5.778,9,2000,3000
19995,/fwmoeF44DXBk1tC30QFAiE0nwjT.jpg,,8.034,5,2000,3000
19995,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,en,6.834,30,2000,3000
27205,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,en,7.542,8,2000,3000
27205,/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,en,7.05,10,1000,1500
27205,/gqgwNjwjSqGkOqkE2rppogenu4v.jpg,en,6.2,10,2000,3000
157336,/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,en,1.75,4,2000,3000
157336,/iawqQdFKI7yTUoSkDNP8gyV3J3r.jpg,en,7.176,38,2000,3000
157336,/7uCL4gbdmokTWyeYbJxwBo5pbVT.jpg,en,7.076,26,2000,3000
13,/zxzYh2YtgypKrijVE0OuIyEgwdT.jpg,,5.778,9,2000,3000
13,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,en,5.426,27,2000,3000
13,/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,en,5.25,11,1000,1500
278,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,en,7.41,22,2000,3000
278,/u5hLebzUOBGbnPikIyxI1159lhc.jpg,,10.0,4,2000,3000
278,/orcTUEAuVyGYjUM47HRhb7DRLRa.jpg,en,6.722,6,2000,3000
24428,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,en,6.734,33,2000,3000
24428,/qMxAmzGQO722q0UlssCOPhrXmvX.jpg,en,7.286,14,2000,3000
24428,/yHdPTs239Cqce1s6y9figbeolR1.jpg,en,5.682,11,1000,1500
1726,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,en,5.25,36,1800,2700
1726,/dMc96Rn0XutMaIYJNwkJ5yO9oTh.jpg,en,7.318,11,1000,1500
1726,/zDN5cF6nATORm4EMUSuuwJ97DuK.jpg,en,6.722,6,1700,2550
671,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,en,3.892,70,1000,1500
671,/8CowcviEyo0fnXWLGXMWf67IXgI.jpg,en,10.0,11,2000,3000
671,/o6Zcka8nRMTIYKJDBSXYO8WEUMY.jpg,,8.034,5,2000,3000
550,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,en,5.0,76,2000,3000
550,/a26cQPRhJPX6GbWfQbvZdrrp9j9.jpg,en,6.898,49,2000,3000
550,/obVTG7QMbQ7gV3oZAJuFjKBhsGk.jpg,en,6.312,8,1400,2100
68718,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,en,5.884,30,2000,3000
68718,/bV0rWoiRo7pHUTQkh6Oio6irlXO.jpg,en,5.726,20,2000,3000
68718,/72lbi9vD8ihfeOJTOPnQajVH9DM.jpg,en,5.616,13,1290,1935
118340,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,en,6.712,26,2000,3000
118340,/jPrJPZKJVhvyJ4DmUTrDgmFN0yG.jpg,en,6.312,8,2000,3000
118340,/ufaQyyzSUnQiqUzl4d4HmX9SoPJ.jpg,en,6.312,9,2000,3000
293660,/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,en,6.834,28,2000,3000
293660,/v7dXwm78BHkdlDzwT3u4fywgz1b.jpg,en,6.722,6,1000,1500
293660,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,en,6.042,36,2000,3000
299536,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,en,7.84,111,2000,3000
299536,/dW88Lx1nwaUQgXIvjg2kRrbIOH1.jpg,,10.0,4,2000,3000
299536,/1uoU4qPZEcOus0rQf8Tz4JCn3cX.jpg,en,6.898,49,2000,3000
680,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,en,7.522,23,2000,3000
680,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,en,6.466,43,1400,2100
680,/wZbnRMarWnO4DJRisOaK4QEg1tl.jpg,en,6.346,13,1000,1500
155,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,6.12,71,1000,1500
155,/xQPgyZOBhaz1GdCQIPf5A5VeFzO.jpg,en,7.738,21,2000,3000
155,/r3UKPGdQC5mPiA9bE9otM9CN4lW.jpg,en,7.05,10,2000,2815
11324,/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,en,7.076,13,1000,1500
11324,/lAH2HXxIjRWOrFVjwhBSsNr7yGW.jpg,en,5.25,8,1000,1500
11324,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,en,5.0,19,1000,1500
597,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,en,5.664,46,1000,1500
597,/5bTWA20cL9LCIGNpde4Epc2Ijzn.jpg,en,7.5,19,2000,3000
597,/8MFJ4aAr85B5lVCecxGSd9iX6FX.jpg,en,5.25,18,2000,3000
299534,/3YBoaKqcCl5FEVPFgycG5jWw3ky.jpg,,10.0,4,1600,2400
299534,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,en,7.544,58,2000,3000
299534,/bR8ISy1O9XQxqiy0fQFw2BX72RQ.jpg,en,7.466,16,1000,1500
271110,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,en,4.232,28,2000,3000
271110,/uymMGErUAUXElLJE4jTUrDMT7wr.jpg,en,4.934,15,1000,1500
271110,/nE0Po7FDiTIr7KaplUbewlTx1Ws.jpg,en,4.722,10,1000,1500
120,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,en,8.19,42,2000,3000
120,/5m0zjctrxy9HeSAtnGWNLlsnr8z.jpg,en,6.676,20,2000,3000
120,/w3NF110cyjqxkQD2azmUMyaFzhG.jpg,en,5.616,13,1800,2700
475557,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,en,7.286,91,2000,3000
475557,/onwnTFCEF5CvB8AFi9BzZqm6cng.jpg,,7.19,7,2000,3000
475557,/mZuAPY4ETMQPHhCXIcJ90kd6RaS.jpg,en,7.0,38,2000,3000
16869,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,en,6.438,40,1000,1500
16869,/eAa3I9vpbRXnzULqvrh4LEr9105.jpg,en,4.722,9,945,1400
16869,/slE7k3ZNMvawwgNCjMcnpDBUN7r.jpg,en,4.63,23,2000,2962
121,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,en,5.122,37,2000,3000
121,/ffUCCX8kPkhfQ3DgW0huo0eygDc.jpg,en,7.318,11,2000,3000
121,/pcXIJt2E09eI3FFxcxjOY0beCxY.jpg,en,5.786,7,1000,1500
76341,/hA2ple9q4qnwxp3hKVNhroipsir.jpg,en,7.15,20,2000,3000
76341,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,en,6.482,27,2000,3000
76341,/wf0rvyXBTf2me1af6T0Z7WykTVo.jpg,en,5.616,13,1000,1426
603,/p96dm7sCMn4VYAStA6siNz30G1r.jpg,en,6.2,10,2000,3000
603,/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg,en,6.088,34,2000,3000
603,/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,en,6.016,31,1500,2250
122,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,en,7.098,36,2000,3000
122,/uV4NEAkYNASLRuoNm7hDheC6VlZ.jpg,en,7.892,14,2000,3000
122,/wNB551TsEb7KFU3an5LwOrgvUpn.jpg,en,7.318,11,1000,1500
99861,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,en,2.876,28,1400,2100
99861,/5JzVWJvjOe9Y9YOrg8iOsLJDNne.jpg,en,6.306,18,2000,3000
99861,/aOdpiWmZUZmOzEtepWmN1Uv9s0G.jpg,en,4.722,10,2000,3000
106646,/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,en,7.542,8,1000,1500
106646,/pWHf4khOloNVfCxscsXFj3jj6gP.jpg,en,5.25,22,1000,1426
106646,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,en,5.024,21,1000,1500
672,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,en,4.3,55,951,1426
672,/n6zpzAOoGx3kYrEzgAMHQZyF5cE.jpg,en,5.778,27,2000,3000
672,/31z69FoBRNoQ27k546IXJizFrUI.jpg,en,5.616,13,1000,1500
49026,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,en,7.0,19,1000,1500
49026,/8JCu1wi83pirpHEbVpmpfowDolX.jpg,en,8.034,6,1400,2100
49026,/8JoNBc8AMLcTXbAURDJXXZpTo9j.jpg,en,7.19,7,951,1426
284052,/xf8PbyQcR5ucXErmZNzdKR0s8ya.jpg,en,5.778,18,2000,3000
284052,/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,en,5.566,30,1000,1500
284052,/7WfK17BXE6szXlm4WOxfswgbdsL.jpg,en,5.25,22,2000,3000
150540,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,en,8.0,19,1700,2550
150540,/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg,en,6.734,32,2000,3000
150540,/u5Ut5uygWnTRWGRoPVzlLsetiIp.jpg,en,6.312,8,2000,3000
284054,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,en,6.94,59,2000,3000
284054,/udd8VinUWwLIiTYn3wdOEpCk9Fq.jpg,en,6.58,25,2000,3000
284054,/3LpwXRR8AhNXgxQBVN4It2ldinU.jpg,en,5.682,11,2000,3000
70160,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,en,6.5,20,1000,1500
70160,/kFC9H1K1FeiWdbxayX4CskmWpS5.jpg,en,5.25,14,2000,3000
70160,/1ewwtjqAcwZ5abr2X7coGN0UwaI.jpg,en,5.122,37,2000,3000
315635,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,en,4.964,83,2000,3000
315635,/wFNNv1ZHglNdXJLYiEgpLY5sa9S.jpg,en,7.626,20,2000,3000
315635,/sd1eByiFLL0arwkip6lV6l25cSj.jpg,en,6.122,50,2000,3000
673,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,en,2.448,39,1400,2100
673,/uXSJ1ZP4X5AJSBeCtPmuh10SswL.jpg,en,9.298,14,951,1426
673,/iloAbBOkLjsxoNyU8T77QjwbecR.jpg,en,8.362,12,1000,1426
10138,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,en,4.776,20,1000,1500
10138,/1NHEyFPxKnsLdMuDVPy6AI7GRmE.jpg,en,6.546,11,2000,3000
10138,/bMYuDvz2Zl0pNWIbt9GQqZt1CH.jpg,en,5.616,13,1400,2100
238,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,5.054,73,1500,2250
238,/3Tf8vXykYhzHdT0BtsYTp570JGQ.jpg,en,7.308,60,2000,3000
238,/oaIPuKuJM8IdpgWSmNe9bBiyvRY.jpg,en,6.546,11,2000,3000
272,/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,en,8.034,6,2000,3000
272,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,en,6.2,20,1000,1500
272,/8RW2runSEc34IwKN2D1aPcJd2UL.jpg,en,5.87,23,2000,3000
283995,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,en,5.328,62,1000,1500
283995,/bFjcrDJSMmDgnRVKVvEQDVepXZB.jpg,en,8.77,8,1000,1500
