movie_id,provider_name,provider_type
841755,Amazon Video,rent
841755,Apple TV Store,rent
841755,Google Play Movies,rent
841755,YouTube,rent
841755,Fandango At Home,rent
841755,Spectrum On Demand,rent
841755,Amazon Video,buy
841755,Apple TV Store,buy
841755,Google Play Movies,buy
841755,YouTube,buy
841755,Fandango At Home,buy
389868,Amazon Prime Video,flatrate
389868,Night Flight Plus,flatrate
389868,Amazon Prime Video with Ads,flatrate
389868,Amazon Video,rent
389868,Google Play Movies,rent
389868,YouTube,rent
389868,Fandango At Home,rent
389868,Amazon Video,buy
389868,Google Play Movies,buy
389868,YouTube,buy
389868,Fandango At Home,buy
253235,Amazon Prime Video,flatrate
253235,Amazon Prime Video with Ads,flatrate
253235,Apple TV Store,buy
11867,Amazon Video,rent
11867,Apple TV Store,rent
11867,Google Play Movies,rent
11867,YouTube,rent
11867,Fandango At Home,rent
11867,Amazon Video,buy
11867,Apple TV Store,buy
11867,Google Play Movies,buy
11867,YouTube,buy
11867,Fandango At Home,buy
151368,Amazon Prime Video,flatrate
151368,fuboTV,flatrate
151368,Fandor,flatrate
151368,Philo,flatrate
151368,Fandor Amazon Channel,flatrate
151368,Screambox Amazon Channel,flatrate
151368,Cineverse,flatrate
151368,Midnight Pulp,flatrate
151368,Amazon Prime Video with Ads,flatrate
151368,Midnight Pulp Amazon Channel,flatrate
151368,Amazon Video,rent
151368,Apple TV Store,rent
151368,Google Play Movies,rent
151368,YouTube,rent
151368,Amazon Video,buy
151368,Apple TV Store,buy
151368,Google Play Movies,buy
151368,YouTube,buy
972614,HBO Max,flatrate
972614,HBO Max Amazon Channel,flatrate
972614,Cinemax Amazon Channel,flatrate
972614,Cinemax Apple TV Channel,flatrate
972614,Amazon Video,rent
972614,Apple TV Store,rent
972614,Google Play Movies,rent
972614,YouTube,rent
972614,Fandango At Home,rent
972614,Plex,rent
972614,Amazon Video,buy
972614,Apple TV Store,buy
972614,Google Play Movies,buy
972614,YouTube,buy
972614,Fandango At Home,buy
566454,France Channel Amazon Channel,flatrate
566454,Amazon Video,rent
566454,Apple TV Store,rent
566454,Google Play Movies,rent
566454,YouTube,rent
566454,Fandango At Home,rent
566454,Amazon Video,buy
566454,Apple TV Store,buy
566454,Google Play Movies,buy
566454,YouTube,buy
566454,Fandango At Home,buy
72478,Amazon Video,rent
72478,Amazon Video,buy
88042,Cinemax Amazon Channel,flatrate
88042,Cinemax Apple TV Channel,flatrate
88042,Amazon Video,rent
88042,Apple TV Store,rent
88042,Google Play Movies,rent
88042,YouTube,rent
88042,Fandango At Home,rent
88042,Amazon Video,buy
88042,Apple TV Store,buy
88042,Google Play Movies,buy
88042,YouTube,buy
88042,Fandango At Home,buy
352173,Apple TV Store,rent
352173,Google Play Movies,rent
352173,YouTube,rent
352173,Apple TV Store,buy
352173,Google Play Movies,buy
352173,YouTube,buy
29963,Criterion Channel,flatrate
29963,Amazon Video,rent
29963,Apple TV Store,rent
29963,Google Play Movies,rent
29963,YouTube,rent
29963,Fandango At Home,rent
29963,Amazon Video,buy
29963,Apple TV Store,buy
29963,Google Play Movies,buy
29963,YouTube,buy
29963,Fandango At Home,buy
2453,Amazon Video,rent
2453,Apple TV Store,rent
2453,Google Play Movies,rent
2453,YouTube,rent
2453,Fandango At Home,rent
2453,Amazon Video,buy
2453,Apple TV Store,buy
2453,Google Play Movies,buy
2453,YouTube,buy
2453,Fandango At Home,buy
114750,Amazon Prime Video,flatrate
114750,Amazon Prime Video with Ads,flatrate
114750,MovieSphere+ Amazon Channel,flatrate
114750,Amazon Video,rent
114750,Apple TV Store,rent
114750,Google Play Movies,rent
114750,YouTube,rent
114750,Fandango At Home,rent
114750,Amazon Video,buy
114750,Apple TV Store,buy
114750,Google Play Movies,buy
114750,YouTube,buy
114750,Fandango At Home,buy
122857,Amazon Video,rent
122857,Apple TV Store,rent
122857,Google Play Movies,rent
122857,YouTube,rent
122857,Fandango At Home,rent
122857,Amazon Video,buy
122857,Apple TV Store,buy
122857,Google Play Movies,buy
122857,YouTube,buy
122857,Fandango At Home,buy
13166,Amazon Prime Video,flatrate
13166,Amazon Prime Video with Ads,flatrate
13166,Apple TV Store,rent
13166,Google Play Movies,rent
13166,YouTube,rent
13166,Fandango At Home,rent
13166,Apple TV Store,buy
13166,Google Play Movies,buy
13166,YouTube,buy
13166,Fandango At Home,buy
970450,Hulu,flatrate
970450,Amazon Video,rent
970450,Apple TV Store,rent
970450,Google Play Movies,rent
970450,YouTube,rent
970450,Fandango At Home,rent
970450,Amazon Video,buy
970450,Apple TV Store,buy
970450,Google Play Movies,buy
970450,YouTube,buy
970450,Fandango At Home,buy
581577,Cohen Media Amazon Channel,flatrate
